PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
2         26.75     33.82951       -21.63152      -1.96705       0.36152        -0.98335       0.18170        -1.38813       0.00000        0.00000        
1         27.00     -48.59426      62.63702       1.71386        1.45780        0.75941        0.65061        0.86258        0.00000        0.00000        
2         27.00     33.33775       -21.54114      -1.96702       0.36173        -0.98334       0.18176        -1.38808       0.00000        0.00000        
1         27.25     -48.16580      63.00147       1.90371        1.62045        0.75929        0.65075        0.86241        0.00000        0.00000        
2         27.25     32.84600       -21.45071      -1.96698       0.36193        -0.98333       0.18182        -1.38802       0.00000        0.00000        
1         27.50     -47.68987      63.40658       1.52257        1.29683        0.75915        0.65091        0.86222        0.00000        0.00000        
2         27.50     32.35425       -21.36022      -1.96694       0.36212        -0.98332       0.18187        -1.38796       0.00000        0.00000        
1         27.75     -47.30923      63.73079       1.71236        1.45956        0.75904        0.65104        0.86201        0.00000        0.00000        
2         27.75     31.86252       -21.26970      -1.96691       0.36230        -0.98331       0.18193        -1.38791       0.00000        0.00000        
1         28.00     -46.88114      64.09568       1.90212        1.62232        0.75892        0.65119        0.86184        0.00000        0.00000        
2         28.00     31.37079       -21.17912      -1.96688       0.36247        -0.98330       0.18199        -1.38785       0.00000        0.00000        
1         28.25     -46.40561      64.50126       1.52135        1.29827        0.75878        0.65135        0.86165        0.00000        0.00000        
2         28.25     30.87907       -21.08850      -1.96685       0.36264        -0.98329       0.18205        -1.38778       0.00000        0.00000        
1         28.50     -46.02527      64.82583       1.71104        1.46110        0.75866        0.65149        0.86143        0.00000        0.00000        
2         28.50     30.38736       -20.99784      -1.96682       0.36280        -0.98328       0.18212        -1.38772       0.00000        0.00000        
1         28.75     -45.59751      65.19110       1.90071        1.62398        0.75852        0.65165        0.86125        0.00000        0.00000        
2         28.75     29.89565       -20.90714      -1.96679       0.36296        -0.98326       0.18219        -1.38765       0.00000        0.00000        
1         29.00     -45.12233      65.59709       1.52025        1.29956        0.75835        0.65184        0.86103        0.00000        0.00000        
2         29.00     29.40395       -20.81640      -1.96676       0.36312        0.25482        -0.96699       -1.38758       0.00000        0.00000        
1         29.25     -44.74227      65.92198       1.70983        1.46252        0.75821        0.65201        0.86078        0.00000        0.00000        
2         29.25     28.91226       -20.72562      -1.90305       0.12137        0.26194        -0.96509       2.88393        0.00000        0.00000        
1         29.50     -44.31481      66.28761       1.89939        1.62552        0.83170        -0.55523       0.86057        0.00000        0.00000        
2         29.50     28.43650       -20.69528      -1.83757       -0.11990       0.26900        -0.96314       2.87657        0.00000        0.00000        
1         29.75     -43.83996      66.69399       1.63423        1.15295        0.82838        -0.56017       2.15944        0.00000        0.00000        
2         29.75     27.97711       -20.72525      -1.77032       -0.36068       0.27603        -0.96115       2.86924        0.00000        0.00000        
1         30.00     -43.43140      66.98223       1.84132        1.01291        0.82578        -0.56399       2.16538        0.00000        0.00000        
2         30.00     27.53453       -20.81542      -1.70131       -0.60097       0.28303        -0.95911       2.86193        0.00000        0.00000        
1         30.25     -42.97107      67.23546       1.84014        0.78351        0.82315        -0.56783       2.17001        0.00000        0.00000        
2         30.25     27.10920       -20.96566      -1.63055       -0.84075       0.29003        -0.95702       2.85464        0.00000        0.00000        
1         30.50     -42.51104      67.43134       1.90838        0.59842        0.82075        -0.57128       2.17466        0.00000        0.00000        
2         30.50     26.70156       -21.17585      -1.55805       -1.08000       0.29703        -0.95487       2.84733        0.00000        0.00000        
